pointid,grid_code,POINT_X,POINT_Y
1,227,-121.81947998,38.9762239471
2,227,-122.875297102,38.6724747474
3,227,-121.63394004,38.4755287728
12,227,-121.320225272,38.4903387415
15,227,-121.322469939,38.3442098727
16,227,-121.571282672,38.268142296
87,227,-121.559759659,38.1592673057
89,227,-121.737080395,38.0676606558
97,227,-121.385915576,38.0649744866
99,227,-121.501881913,38.000330988
104,227,-121.632993775,37.9345038414
109,227,-121.366769289,37.9122552726
110,227,-121.475480253,37.8610667644
114,227,-121.228127104,37.902788523
118,227,-120.852067224,37.9627361806
127,227,-121.573796123,37.7889339621
140,227,-120.988806749,37.8804583198
142,227,-121.318827846,37.8103387239
165,227,-121.261365785,37.727649158
171,227,-121.022407751,37.7644738901
172,227,-120.849416674,37.7986991863
204,227,-121.147952308,37.6565172424
208,227,-121.317999796,37.5985322556
209,227,-120.900414232,37.6852507817
210,227,-120.705170749,37.7256055386
223,227,-121.022731381,37.5833734459
225,227,-120.555145864,37.6774009522
242,227,-120.850932787,37.5949950209
256,227,-121.14712064,37.507763117
294,227,-121.005607883,37.4802415904
303,227,-120.875328049,37.4912403371
309,227,-120.656174834,37.5244336338
334,227,-121.124116329,37.4147340277
435,227,-120.501692073,37.5067976459
532,227,-120.344475001,37.5133381836
580,227,-121.735700088,37.2142587799
586,227,-120.761433365,37.4213837265
635,227,-120.890557427,37.3888322288
686,227,-121.105039116,37.3206006129
741,227,-120.594980642,37.4202462107
1085,227,-120.739575459,37.3311942874
1187,227,-121.600761266,37.1296889712
1245,227,-121.036478472,37.2397225528
1284,227,-120.532171794,37.3379905308
1346,227,-120.37479927,37.3377578358
1353,227,-121.943960446,37.0016000522
1375,227,-122.08321698,36.9521934062
1392,227,-120.664142434,37.2516222693
1393,227,-120.848230792,37.2111974606
1435,227,-121.570789475,37.0423137123
1481,227,-120.983479997,37.1563794643
1484,227,-121.807853292,36.9784108449
1774,227,-120.529109978,37.2345163789
2415,227,-120.261421742,37.2530812044
2729,227,-120.382953747,37.2165180762
2802,227,-120.711792468,37.1452843731
2820,227,-120.843669115,37.1159882831
3181,227,-121.551051514,36.9527233302
4126,227,-121.381250091,36.9816490039
4753,227,-121.787848609,36.8888568458
5191,227,-120.969819682,37.0608438199
6659,227,-121.664304696,36.8975332441
9617,227,-120.550622892,37.102404483
10722,227,-120.408844514,37.1167971143
11283,227,-120.713090379,37.0491561511
11399,227,-120.280581267,37.1379252424
11872,227,-120.077637039,37.1741062342
12231,227,-121.52070077,36.8648835781
12616,227,-121.389613055,36.8860202142
13100,227,-121.790920836,36.7886832998
14184,227,-120.874092229,36.9610234989
14567,227,-120.568615667,37.0050626696
14926,227,-121.616759924,36.7609403554
14975,227,-120.728780427,36.9466822877
15003,227,-120.121712707,37.0697164132
15221,227,-120.249273652,37.0383710351
15295,227,-120.397950349,37.0019556458
15363,227,-121.724612111,36.7092947144
15835,227,-119.92976945,37.0464825572
15911,227,-121.941239764,36.6165301065
15914,227,-120.548754844,36.9144818041
16016,227,-121.559682984,36.6781008894
16042,227,-120.722219182,36.8544062712
16187,227,-120.189344121,36.9518821994
16454,227,-120.335615934,36.9129613026
16489,227,-121.664789616,36.6279214337
16748,227,-120.042334309,36.9492622279
16859,227,-119.907132975,36.9567928834
16887,227,-120.434400263,36.8446444884
16961,227,-121.52337998,36.5910138065
17006,227,-120.656176255,36.7615860046
17042,227,-119.736220472,36.9428821151
17105,227,-120.532497782,36.7705342972
17479,227,-120.133856392,36.8091532399
17495,227,-120.253875281,36.7828498651
17612,227,-120.003052319,36.8272832552
17824,227,-121.457201869,36.5115405397
18049,227,-120.36636087,36.7192132791
18138,227,-120.525087246,36.6759777686
18382,227,-119.628202891,36.8222570274
18436,227,-119.91152992,36.7444080422
18444,227,-121.405789945,36.4277403724
19225,227,-120.178999408,36.6397003006
19256,227,-120.464645072,36.5744806691
19342,227,-121.253838774,36.3940199244
19344,227,-119.721502033,36.7120660981
19347,227,-120.335686692,36.5843864447
19412,227,-120.005035988,36.6404843963
19458,227,-119.467049424,36.747539057
19628,227,-121.819973308,36.2412994929
19674,227,-119.831785426,36.6378308881
19727,227,-121.22921034,36.299692328
19728,227,-120.335906016,36.4888343037
19745,227,-120.029982111,36.5391363291
19758,227,-119.568906283,36.625563322
19807,227,-119.674817145,36.5736275848
19823,227,-120.162152707,36.4638640754
19829,227,-119.814414705,36.5280117043
20031,227,-121.088717496,36.2522579317
20253,227,-120.283487901,36.4061363672
20402,227,-119.425034773,36.5421658377
20450,227,-119.933857221,36.4271297169
