,Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,presence
0,-121.81947998,38.9762239471,177.0,123,40,6141.0,352.0,47.0,305.0,94.0,262.0,262.0,94.0,456.0,91.0,1.0,85.0,266.0,3.0,3.0,266.0,1
1,-122.875297102,38.6724747474,150.0,94,42,4388.0,277.0,51.0,225.0,90.0,206.0,210.0,90.0,1135.0,262.0,1.0,93.0,746.0,10.0,10.0,746.0,1
2,-121.63394004,38.4755287728,172.0,121,42,5502.0,334.0,49.0,285.0,96.0,247.0,247.0,96.0,447.0,96.0,1.0,89.0,269.0,3.0,3.0,269.0,1
3,-121.320225272,38.4903387415,176.0,123,41,5790.0,344.0,49.0,295.0,98.0,256.0,256.0,98.0,487.0,99.0,1.0,85.0,282.0,3.0,3.0,282.0,1
4,-121.322469939,38.3442098727,175.0,122,42,5644.0,341.0,50.0,291.0,98.0,253.0,253.0,98.0,467.0,95.0,1.0,85.0,271.0,3.0,3.0,271.0,1
5,-121.571282672,38.268142296,171.0,120,43,5284.0,328.0,49.0,278.0,98.0,242.0,242.0,98.0,422.0,88.0,1.0,87.0,249.0,3.0,3.0,249.0,1
6,-121.559759659,38.1592673057,169.0,119,43,5110.0,322.0,50.0,272.0,98.0,238.0,238.0,98.0,398.0,82.0,1.0,87.0,232.0,3.0,3.0,232.0,1
8,-121.385915576,38.0649744866,171.0,120,43,5199.0,327.0,50.0,277.0,99.0,242.0,242.0,99.0,387.0,78.0,1.0,85.0,220.0,3.0,3.0,220.0,1
9,-121.501881913,38.000330988,168.0,118,44,4988.0,319.0,50.0,268.0,98.0,235.0,235.0,98.0,371.0,75.0,1.0,85.0,212.0,3.0,3.0,212.0,1
10,-121.632993775,37.9345038414,164.0,114,44,4710.0,307.0,50.0,257.0,97.0,227.0,227.0,97.0,354.0,74.0,1.0,87.0,210.0,3.0,3.0,210.0,1
11,-121.366769289,37.9122552726,170.0,119,43,5051.0,322.0,50.0,272.0,100.0,238.0,238.0,100.0,335.0,67.0,1.0,84.0,188.0,3.0,3.0,188.0,1
12,-121.475480253,37.8610667644,167.0,117,44,4828.0,313.0,50.0,263.0,99.0,228.0,232.0,99.0,336.0,66.0,1.0,83.0,187.0,5.0,5.0,187.0,1
13,-121.228127104,37.902788523,172.0,121,43,5219.0,328.0,50.0,278.0,100.0,243.0,243.0,100.0,336.0,66.0,1.0,83.0,186.0,3.0,3.0,186.0,1
14,-120.852067224,37.9627361806,177.0,123,41,5772.0,345.0,49.0,295.0,99.0,258.0,258.0,99.0,462.0,89.0,1.0,83.0,257.0,5.0,5.0,257.0,1
15,-121.573796123,37.7889339621,161.0,114,45,4597.0,302.0,49.0,253.0,96.0,219.0,223.0,96.0,303.0,63.0,1.0,86.0,178.0,4.0,5.0,178.0,1
16,-120.988806749,37.8804583198,176.0,123,42,5544.0,339.0,49.0,289.0,100.0,253.0,253.0,100.0,381.0,72.0,1.0,82.0,207.0,3.0,3.0,207.0,1
17,-121.318827846,37.8103387239,170.0,119,44,5014.0,321.0,50.0,271.0,100.0,237.0,238.0,100.0,320.0,62.0,1.0,82.0,175.0,3.0,3.0,175.0,1
18,-121.261365785,37.727649158,169.0,120,44,4987.0,321.0,50.0,270.0,100.0,236.0,237.0,100.0,308.0,59.0,1.0,82.0,166.0,3.0,3.0,166.0,1
19,-121.022407751,37.7644738901,174.0,123,43,5380.0,334.0,50.0,284.0,101.0,248.0,248.0,101.0,342.0,64.0,1.0,82.0,183.0,3.0,3.0,183.0,1
20,-120.849416674,37.7986991863,177.0,123,42,5633.0,341.0,49.0,292.0,101.0,250.0,255.0,101.0,404.0,77.0,1.0,83.0,220.0,5.0,5.0,220.0,1
21,-121.147952308,37.6565172424,171.0,121,44,5094.0,325.0,50.0,275.0,113.0,239.0,241.0,101.0,314.0,57.0,1.0,82.0,163.0,3.0,3.0,162.0,1
22,-121.317999796,37.5985322556,164.0,118,44,4793.0,311.0,47.0,263.0,97.0,225.0,229.0,97.0,285.0,56.0,1.0,84.0,159.0,4.0,5.0,159.0,1
23,-120.900414232,37.6852507817,176.0,124,42,5484.0,338.0,50.0,288.0,101.0,247.0,252.0,101.0,355.0,67.0,1.0,83.0,191.0,4.0,5.0,191.0,1
24,-120.705170749,37.7256055386,179.0,124,41,5785.0,347.0,50.0,297.0,102.0,257.0,261.0,102.0,442.0,88.0,1.0,85.0,252.0,5.0,5.0,252.0,1
25,-121.022731381,37.5833734459,173.0,123,43,5247.0,331.0,50.0,281.0,105.0,241.0,245.0,101.0,322.0,60.0,1.0,82.0,168.0,4.0,5.0,168.0,1
26,-120.555145864,37.6774009522,180.0,124,41,5907.0,350.0,50.0,300.0,102.0,264.0,264.0,102.0,492.0,99.0,1.0,85.0,281.0,5.0,5.0,281.0,1
27,-120.850932787,37.5949950209,176.0,124,42,5485.0,339.0,50.0,289.0,102.0,247.0,253.0,102.0,339.0,65.0,1.0,83.0,182.0,4.0,5.0,182.0,1
