Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-121.81947998,38.9762239471,177,123,40,6141,352,47,305,94,262,262,94,456,91,1,85,266,3,3,266
-122.875297102,38.6724747474,150,94,42,4388,277,51,225,90,206,210,90,1135,262,1,93,746,10,10,746
-121.63394004,38.4755287728,172,121,42,5502,334,49,285,96,247,247,96,447,96,1,89,269,3,3,269
-121.320225272,38.4903387415,176,123,41,5790,344,49,295,98,256,256,98,487,99,1,85,282,3,3,282
-121.322469939,38.3442098727,175,122,42,5644,341,50,291,98,253,253,98,467,95,1,85,271,3,3,271
-121.571282672,38.268142296,171,120,43,5284,328,49,278,98,242,242,98,422,88,1,87,249,3,3,249
-121.559759659,38.1592673057,169,119,43,5110,322,50,272,98,238,238,98,398,82,1,87,232,3,3,232
-121.737080395,38.0676606558,-32768,255,127,65535,-32768,-32768,65535,-32768,-32768,-32768,-32768,65535,65535,65535,65535,65535,65535,65535,65535
-121.385915576,38.0649744866,171,120,43,5199,327,50,277,99,242,242,99,387,78,1,85,220,3,3,220
-121.501881913,38.000330988,168,118,44,4988,319,50,268,98,235,235,98,371,75,1,85,212,3,3,212
-121.632993775,37.9345038414,164,114,44,4710,307,50,257,97,227,227,97,354,74,1,87,210,3,3,210
-121.366769289,37.9122552726,170,119,43,5051,322,50,272,100,238,238,100,335,67,1,84,188,3,3,188
-121.475480253,37.8610667644,167,117,44,4828,313,50,263,99,228,232,99,336,66,1,83,187,5,5,187
-121.228127104,37.902788523,172,121,43,5219,328,50,278,100,243,243,100,336,66,1,83,186,3,3,186
-120.852067224,37.9627361806,177,123,41,5772,345,49,295,99,258,258,99,462,89,1,83,257,5,5,257
-121.573796123,37.7889339621,161,114,45,4597,302,49,253,96,219,223,96,303,63,1,86,178,4,5,178
-120.988806749,37.8804583198,176,123,42,5544,339,49,289,100,253,253,100,381,72,1,82,207,3,3,207
-121.318827846,37.8103387239,170,119,44,5014,321,50,271,100,237,238,100,320,62,1,82,175,3,3,175
-121.261365785,37.727649158,169,120,44,4987,321,50,270,100,236,237,100,308,59,1,82,166,3,3,166
-121.022407751,37.7644738901,174,123,43,5380,334,50,284,101,248,248,101,342,64,1,82,183,3,3,183
-120.849416674,37.7986991863,177,123,42,5633,341,49,292,101,250,255,101,404,77,1,83,220,5,5,220
-121.147952308,37.6565172424,171,121,44,5094,325,50,275,113,239,241,101,314,57,1,82,163,3,3,162
-121.317999796,37.5985322556,164,118,44,4793,311,47,263,97,225,229,97,285,56,1,84,159,4,5,159
-120.900414232,37.6852507817,176,124,42,5484,338,50,288,101,247,252,101,355,67,1,83,191,4,5,191
-120.705170749,37.7256055386,179,124,41,5785,347,50,297,102,257,261,102,442,88,1,85,252,5,5,252
-121.022731381,37.5833734459,173,123,43,5247,331,50,281,105,241,245,101,322,60,1,82,168,4,5,168
-120.555145864,37.6774009522,180,124,41,5907,350,50,300,102,264,264,102,492,99,1,85,281,5,5,281
-120.850932787,37.5949950209,176,124,42,5485,339,50,289,102,247,253,102,339,65,1,83,182,4,5,182
-121.14712064,37.507763117,169,121,44,4994,321,49,272,108,233,237,100,303,58,1,84,163,4,5,163
-121.005607883,37.4802415904,173,123,44,5164,329,50,279,114,239,244,102,310,58,1,82,164,4,5,161
-120.875328049,37.4912403371,175,124,43,5350,335,50,285,111,244,249,102,314,60,1,83,167,4,5,167
-120.656174834,37.5244336338,178,125,42,5704,346,49,296,102,259,259,102,380,75,1,86,213,3,3,213
-121.124116329,37.4147340277,168,122,44,4975,320,47,273,106,235,236,99,300,61,1,87,169,3,3,169
-120.501692073,37.5067976459,181,125,41,5858,351,51,300,103,264,265,103,415,82,0,86,235,2,2,235
-120.344475001,37.5133381836,182,124,40,6047,354,50,304,103,269,269,103,462,88,1,84,256,3,3,256
