Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-121.85284821423389,39.69859688377785,179.0,122,37,6993.0,370.0,41.0,328.0,87.0,279.0,279.0,87.0,703.0,154.0,1.0,85.0,431.0,7.0,7.0,431.0
-118.44973505343667,35.15753201173836,138.0,129,40,6721.0,317.0,-4.0,321.0,80.0,227.0,236.0,52.0,229.0,44.0,1.0,77.0,126.0,5.0,11.0,105.0
-122.96950093549727,39.059560641186536,130.0,100,41,4834.0,269.0,25.0,244.0,65.0,192.0,198.0,65.0,925.0,229.0,1.0,98.0,645.0,8.0,9.0,645.0
-119.00744384993342,36.89485808104789,120.0,122,37,6960.0,302.0,-21.0,323.0,40.0,223.0,223.0,32.0,770.0,148.0,3.0,81.0,417.0,9.0,9.0,408.0
-119.7195531937267,37.34736465147506,157.0,124,39,6565.0,336.0,19.0,316.0,73.0,254.0,254.0,73.0,689.0,139.0,1.0,83.0,382.0,5.0,5.0,382.0
-120.3272975968308,37.54922250897667,174.0,124,40,6086.0,347.0,42.0,305.0,99.0,262.0,262.0,95.0,587.0,108.0,1.0,83.0,313.0,4.0,4.0,313.0
-118.61413107845459,34.806827587417224,155.0,126,41,6182.0,323.0,19.0,304.0,84.0,236.0,245.0,76.0,283.0,58.0,1.0,87.0,168.0,3.0,7.0,142.0
-120.08840396478588,37.81882454503178,134.0,122,39,6338.0,310.0,0.0,309.0,53.0,227.0,227.0,53.0,925.0,194.0,2.0,86.0,551.0,7.0,7.0,551.0
-122.40918593475939,38.67794084528899,149.0,112,42,5159.0,300.0,34.0,266.0,78.0,220.0,220.0,78.0,746.0,169.0,1.0,93.0,478.0,5.0,5.0,478.0
-122.16370475405236,38.71197184617352,163.0,117,41,5507.0,324.0,41.0,282.0,87.0,239.0,239.0,87.0,476.0,105.0,1.0,90.0,293.0,5.0,5.0,293.0
-121.87757435589195,39.79965314169553,178.0,122,36,7106.0,371.0,39.0,331.0,85.0,280.0,280.0,85.0,739.0,155.0,1.0,83.0,438.0,9.0,9.0,438.0
-121.50434823535026,39.0828316178919,180.0,123,39,6375.0,359.0,48.0,311.0,95.0,269.0,269.0,95.0,568.0,118.0,1.0,85.0,337.0,5.0,5.0,337.0
-122.69107790802104,40.26285964764631,148.0,121,37,6792.0,337.0,16.0,320.0,61.0,248.0,248.0,61.0,854.0,169.0,3.0,80.0,482.0,21.0,21.0,482.0
-119.05100290354439,36.634515239847936,161.0,124,38,6964.0,344.0,19.0,325.0,86.0,264.0,264.0,73.0,612.0,114.0,1.0,82.0,325.0,5.0,5.0,316.0
-117.20664123640296,34.480887730683726,170.0,131,39,6840.0,349.0,20.0,329.0,91.0,225.0,268.0,80.0,301.0,55.0,2.0,76.0,162.0,12.0,21.0,153.0
-117.02173149354422,33.43661737064158,156.0,119,44,5192.0,303.0,32.0,270.0,96.0,219.0,232.0,89.0,465.0,86.0,2.0,83.0,254.0,13.0,23.0,248.0
-117.77001002949545,35.31960451285841,173.0,127,36,7570.0,362.0,18.0,343.0,85.0,234.0,281.0,74.0,156.0,30.0,1.0,78.0,89.0,5.0,13.0,74.0
-119.16525669262498,36.88023870021526,168.0,123,37,7043.0,353.0,25.0,328.0,80.0,273.0,273.0,79.0,602.0,126.0,1.0,86.0,351.0,4.0,4.0,350.0
-120.82321739579135,38.08500137598691,165.0,123,41,5887.0,335.0,36.0,298.0,87.0,249.0,249.0,87.0,565.0,104.0,1.0,80.0,300.0,5.0,5.0,300.0
-117.04289008607593,33.82752349418606,175.0,126,42,5866.0,336.0,39.0,297.0,107.0,247.0,261.0,99.0,444.0,85.0,2.0,83.0,249.0,15.0,19.0,239.0
-120.39529558453306,37.65859368741549,177.0,124,40,6057.0,349.0,45.0,303.0,98.0,264.0,264.0,98.0,569.0,109.0,1.0,85.0,315.0,4.0,4.0,315.0
-121.00002163568007,38.8790881338169,154.0,122,39,6422.0,334.0,22.0,312.0,70.0,246.0,246.0,70.0,1046.0,208.0,2.0,83.0,596.0,12.0,12.0,596.0
-116.53660357977168,34.89622886111842,202.0,131,36,7895.0,395.0,36.0,359.0,109.0,267.0,313.0,96.0,142.0,18.0,1.0,46.0,55.0,6.0,39.0,55.0
-122.11226628897282,39.937351048393,177.0,122,36,7138.0,370.0,38.0,332.0,84.0,280.0,280.0,84.0,645.0,132.0,2.0,83.0,379.0,10.0,10.0,379.0
-122.05187473980837,39.41061661701235,179.0,123,38,6588.0,362.0,45.0,317.0,91.0,271.0,271.0,91.0,487.0,95.0,1.0,82.0,274.0,5.0,5.0,274.0
-121.2470592124227,38.879941918318586,176.0,123,39,6328.0,355.0,45.0,310.0,93.0,266.0,266.0,93.0,647.0,130.0,2.0,82.0,368.0,8.0,8.0,368.0
-120.31620641111715,38.157817057243456,129.0,122,39,6353.0,305.0,-4.0,310.0,47.0,222.0,222.0,47.0,1094.0,228.0,3.0,83.0,639.0,12.0,12.0,639.0
-122.23976977788122,38.407039423659825,136.0,109,43,4723.0,276.0,26.0,250.0,70.0,199.0,199.0,70.0,749.0,160.0,1.0,90.0,451.0,6.0,6.0,451.0
-117.83444512243119,34.41701860788348,138.0,127,41,6121.0,304.0,0.0,303.0,59.0,217.0,227.0,59.0,401.0,86.0,1.0,93.0,247.0,5.0,10.0,247.0
-115.96754879481577,35.042367025044996,228.0,129,35,8350.0,425.0,55.0,370.0,131.0,299.0,345.0,115.0,135.0,17.0,2.0,40.0,47.0,7.0,42.0,45.0
-120.85688690112356,38.109036889643036,174.0,123,41,5869.0,343.0,45.0,298.0,95.0,256.0,256.0,95.0,511.0,89.0,1.0,78.0,258.0,5.0,5.0,258.0
-114.92419520753427,34.32471034356965,216.0,129,36,7806.0,403.0,52.0,351.0,132.0,282.0,326.0,112.0,134.0,18.0,1.0,49.0,50.0,5.0,46.0,49.0
-122.12618597486635,40.39212928571952,168.0,122,35,7456.0,367.0,26.0,341.0,72.0,277.0,277.0,72.0,902.0,161.0,4.0,73.0,469.0,22.0,22.0,469.0
-122.4278968020545,39.084060130424675,144.0,118,40,5807.0,312.0,21.0,291.0,66.0,225.0,225.0,66.0,625.0,146.0,1.0,94.0,414.0,5.0,5.0,414.0
-118.52846203983856,35.54477586696589,155.0,127,38,7085.0,339.0,9.0,330.0,65.0,249.0,259.0,65.0,327.0,67.0,1.0,86.0,191.0,4.0,9.0,191.0
-114.90243311653936,34.38845991772485,217.0,128,36,7869.0,404.0,51.0,352.0,131.0,284.0,327.0,112.0,128.0,17.0,1.0,49.0,51.0,5.0,37.0,48.0
-118.71290944546585,34.87770114365483,127.0,127,41,6095.0,295.0,-6.0,302.0,72.0,207.0,216.0,50.0,347.0,65.0,1.0,80.0,191.0,4.0,8.0,151.0
-116.61111659397999,34.38694369631084,180.0,133,38,7195.0,366.0,24.0,341.0,85.0,237.0,283.0,85.0,227.0,40.0,1.0,70.0,117.0,6.0,31.0,117.0
-122.25466208071778,39.842195853784645,172.0,122,37,6935.0,363.0,36.0,326.0,81.0,272.0,272.0,81.0,576.0,119.0,2.0,83.0,335.0,10.0,10.0,335.0
-119.98103302676215,37.396888181997944,160.0,124,39,6304.0,336.0,26.0,310.0,80.0,252.0,252.0,79.0,677.0,134.0,1.0,84.0,377.0,4.0,4.0,376.0
-123.67695809512233,41.198602303986746,127.0,96,40,4965.0,269.0,30.0,239.0,66.0,192.0,202.0,66.0,1306.0,249.0,3.0,82.0,719.0,22.0,26.0,719.0
-120.86102679491326,39.07881868737633,142.0,122,38,6654.0,326.0,7.0,319.0,56.0,238.0,238.0,56.0,1127.0,221.0,3.0,81.0,635.0,16.0,16.0,635.0
-120.43281305292292,38.10688740204048,150.0,122,39,6256.0,325.0,17.0,308.0,68.0,240.0,240.0,68.0,965.0,204.0,1.0,86.0,574.0,9.0,9.0,574.0
-121.64585033948792,39.227692138412465,180.0,123,38,6537.0,363.0,46.0,316.0,93.0,272.0,272.0,93.0,540.0,110.0,1.0,85.0,317.0,3.0,3.0,317.0
-116.97109593184625,33.33907502583558,156.0,118,44,5123.0,302.0,34.0,268.0,99.0,219.0,232.0,91.0,457.0,86.0,2.0,82.0,255.0,13.0,24.0,227.0
