Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-115.27376159002486,34.393923324425174,227.0,130,36,7892.0,417.0,61.0,355.0,317.0,293.0,338.0,121.0,136.0,20.0,1.0,47.0,52.0,7.0,52.0,44.0
-116.1807442488544,35.68251637203878,231.0,125,33,8777.0,432.0,53.0,379.0,160.0,307.0,353.0,112.0,145.0,22.0,2.0,48.0,64.0,10.0,40.0,50.0
-121.17165128979617,36.778331270645374,134.0,119,46,4504.0,277.0,18.0,258.0,82.0,191.0,195.0,71.0,369.0,72.0,1.0,86.0,206.0,3.0,4.0,198.0
-122.7425735250928,39.26535258717932,75.0,114,41,5394.0,234.0,-40.0,274.0,3.0,151.0,151.0,3.0,1178.0,231.0,2.0,86.0,673.0,15.0,15.0,673.0
-114.1728757623816,34.234838315195255,248.0,127,35,8063.0,433.0,77.0,355.0,157.0,319.0,359.0,140.0,114.0,17.0,1.0,52.0,46.0,4.0,38.0,46.0
-116.05252980857077,35.15999572543404,231.0,129,34,8419.0,429.0,57.0,372.0,331.0,302.0,349.0,117.0,111.0,14.0,2.0,41.0,39.0,6.0,39.0,36.0
-116.84988160285906,32.95453830004918,171.0,114,44,4774.0,310.0,55.0,254.0,129.0,228.0,242.0,111.0,479.0,89.0,3.0,84.0,263.0,9.0,15.0,244.0
-123.71610973622992,40.73360238883975,83.0,94,41,4658.0,219.0,-10.0,229.0,25.0,144.0,152.0,25.0,1462.0,274.0,3.0,79.0,800.0,29.0,31.0,800.0
-121.51976251952506,40.494476033805135,26.0,122,37,6821.0,215.0,-109.0,324.0,-61.0,126.0,126.0,-61.0,1242.0,209.0,7.0,67.0,606.0,40.0,40.0,606.0
-119.8909746013017,34.581175436313586,163.0,97,45,4035.0,281.0,66.0,215.0,116.0,213.0,221.0,111.0,478.0,105.0,0.0,96.0,305.0,1.0,2.0,279.0
-117.4500228402632,37.02717682277074,193.0,116,30,8938.0,395.0,20.0,374.0,90.0,269.0,320.0,75.0,92.0,12.0,3.0,33.0,35.0,12.0,21.0,31.0
-115.67743357110042,33.59701866851736,204.0,134,39,7046.0,387.0,51.0,336.0,111.0,258.0,305.0,111.0,77.0,12.0,0.0,58.0,35.0,1.0,24.0,35.0
-119.81683788935052,38.68069656908938,85.0,122,36,7248.0,274.0,-64.0,338.0,-7.0,192.0,192.0,-7.0,558.0,108.0,8.0,72.0,300.0,27.0,27.0,300.0
-121.11303994704369,39.1252259467289,145.0,123,38,6545.0,327.0,11.0,316.0,59.0,238.0,238.0,59.0,1229.0,248.0,2.0,84.0,704.0,13.0,13.0,704.0
-120.89812933080498,41.87420894380726,86.0,116,34,7549.0,289.0,-50.0,339.0,2.0,202.0,202.0,-8.0,434.0,56.0,10.0,38.0,161.0,37.0,37.0,149.0
-116.37573854172106,32.778897621901436,132.0,128,45,5347.0,287.0,4.0,282.0,71.0,165.0,211.0,64.0,383.0,80.0,2.0,81.0,212.0,14.0,38.0,206.0
-115.21487207028302,35.04621871451148,164.0,128,35,7979.0,354.0,0.0,355.0,194.0,233.0,276.0,58.0,241.0,33.0,2.0,45.0,93.0,12.0,91.0,76.0
-123.45415026981584,41.522329945433505,72.0,106,40,5412.0,228.0,-35.0,264.0,4.0,142.0,152.0,4.0,1601.0,293.0,8.0,78.0,873.0,37.0,51.0,873.0
-121.65722361361617,40.44882322215272,79.0,122,36,7114.0,273.0,-58.0,332.0,-11.0,184.0,184.0,-11.0,996.0,160.0,6.0,64.0,467.0,35.0,35.0,467.0
-121.54366199691,36.875808166195064,152.0,102,47,3713.0,270.0,54.0,215.0,99.0,201.0,202.0,99.0,372.0,80.0,1.0,92.0,226.0,3.0,3.0,226.0
-121.84504740035212,38.41085182112627,167.0,117,43,5179.0,321.0,48.0,272.0,95.0,237.0,237.0,95.0,516.0,113.0,0.0,92.0,317.0,2.0,2.0,317.0
-119.62049118571679,36.173994339862176,194.0,131,41,6396.0,373.0,53.0,320.0,122.0,287.0,287.0,112.0,204.0,40.0,0.0,84.0,113.0,0.0,0.0,108.0
-119.8642051390605,35.33581344366566,128.0,129,44,5454.0,289.0,-1.0,291.0,66.0,199.0,207.0,57.0,213.0,44.0,0.0,87.0,129.0,2.0,2.0,110.0
-122.75395586242236,39.96892001774563,69.0,119,40,6033.0,244.0,-53.0,297.0,-9.0,156.0,156.0,-9.0,874.0,164.0,3.0,75.0,462.0,21.0,21.0,462.0
